text,category
UPI-Kumon Learning-arjun.145@oksbi-KOTAK-458697149-UPI,Kids Activities
ACH/TP ACH NoBroker Rent Payment 4919463414,Rent & Mortgage
online purchase from Max Fashion,Shopping & Clothing
SMS Alert Charges CHENNAI IN,Fees & Interest
NEFT Dr-ICICI0000465-AMIT GUPTA-Park+ Parking,Transportation & Gas
annual premium for Max Bupa Health,Insurance
UPI-Reliance Fresh-anjali.646@paytm-KOTAK-242962370-UPI,Groceries
JioMart Grocery HYDERABAD IN,Groceries
paid 24Seven for groceries,Groceries
ACH/TP ACH YouTube Premium 4250258620,Entertainment & Subscriptions
NEFT Dr-AXIS0000470-SURESH MALHOTRA-INOX Movies,Entertainment & Subscriptions
BigBasket Ref#86857022,Groceries
ACH/TP ACH Tata Power 4751590785,Utilities
NEFT Dr-KOTAK0000348-PRIYA MALHOTRA-Cleartrip,Travel
UPI/YouTube Premium/ritu.638@paytm/Payment/SBI,Entertainment & Subscriptions
UPI/H&M/vikas.391@okicici/Payment/SBI,Shopping & Clothing
UPI/ACT Fibernet/ritu.721@okhdfcbank/Payment/SBI,Utilities
UPI/Dividend Credit/meera.496@paytm/Payment/HDFC,Income & Deposits
paid HP Petrol Pump for a ride,Transportation & Gas
monthly rent paid via SBI Home Loan EMI,Rent & Mortgage
POS ICICI Home Loan EMI DELHI,Rent & Mortgage
UPI-HDFC ATM Withdrawal-meera.878@oksbi-IDFC-204238890-UPI,ATM & Cash
spa session payment at YesMadam,Personal Care
SBI ATM Withdrawal cash withdrawal,ATM & Cash
ACH/TP ACH RedBus 7209221346,Travel
UPI-Tata Power-amit.245@okhdfcbank-KOTAK-607243377-UPI,Utilities
Zomato Ref#43720138,Eating Out
mutual fund contribution to Groww,Investments & Savings Transfer
POS Cadabams Hospital DELHI,Hospital & Medical
lunch bill paid at Faasos,Eating Out
SBI ATM Withdrawal HYDERABAD IN,ATM & Cash
POS Adani Electricity BANGALORE,Utilities
NEFT Dr-IDFC0000595-MANOJ MENON-Nykaa Fashion,Shopping & Clothing
rent transfer to landlord via Property Owner NEFT,Rent & Mortgage
cash withdrawn from HDFC ATM Withdrawal,ATM & Cash
gym membership fee for Jawed Habib,Personal Care
paid electricity bill to BSES Rajdhani,Utilities
Goibibo Ref#75718885,Travel
monthly rent paid via ICICI Home Loan EMI,Rent & Mortgage
kids class fee paid to Kumon Learning,Kids Activities
ACH/TP ACH Fortis Healthcare 5032137236,Hospital & Medical
invested in Groww,Investments & Savings Transfer
IMPS-8417483116-VIKAS KAPOOR-KOTAK-BSES Rajdhani,Utilities
SBI Home Loan EMI CHENNAI IN,Rent & Mortgage
doctor consultation fee at Narayana Health,Hospital & Medical
rent transfer to landlord via Property Owner NEFT,Rent & Mortgage
UPI-Amazon Shopping-sneha.838@oksbi-HDFC-379617257-UPI,Shopping & Clothing
Max Fashion MUMBAI IN,Shopping & Clothing
Jio Fiber Ref#27142646,Utilities
IMPS-8532924756-KARAN SHARMA-SBI-Flipkart,Shopping & Clothing
ACH/TP ACH NPS Contribution 6280280818,Investments & Savings Transfer
coffee at Domino's Pizza,Eating Out
POS Freelance Payment Received CHENNAI,Income & Deposits
UPI/Sony LIV/pooja.237@okicici/Payment/AXIS,Entertainment & Subscriptions
semester fee via College Tuition NEFT,Education
cash withdrawn from ATM Cash Withdrawal,ATM & Cash
NEFT Dr-HDFC0000584-SNEHA MALHOTRA-Kumon Learning,Kids Activities
NEFT Dr-IDFC0000856-SANJAY SHARMA-Property Owner NEFT,Rent & Mortgage
NEFT Dr-HDFC0000353-MANOJ GUPTA-ICICI Prudential,Insurance
Cleartrip Ref#45568682,Travel
spa session payment at YesMadam,Personal Care
ACH/TP ACH HDFC Life Insurance 8964499673,Insurance
rent transfer to landlord via SBI Home Loan EMI,Rent & Mortgage
Little Millennium Ref#38294847,Kids Activities
ACH/TP ACH BYJU'S 0868910115,Education
Netflix subscription auto debit,Entertainment & Subscriptions
paid for YouTube Premium membership,Entertainment & Subscriptions
SBI ATM Withdrawal cash withdrawal,ATM & Cash
gym membership fee for Naturals Salon,Personal Care
rent transfer to landlord via ICICI Home Loan EMI,Rent & Mortgage
NEFT Dr-YES BANK0000635-KARAN BOSE-Behrouz Biryani,Eating Out
Domino's Pizza Ref#26395919,Eating Out
UPI/Kumon Learning/manoj.816@oksbi/Payment/AXIS,Kids Activities
IMPS-4922997764-RITU GUPTA-YES BANK-Vistara,Travel
HP Petrol Pump GURGAON IN,Transportation & Gas
ATM Cash Withdrawal DELHI IN,ATM & Cash
penalty charge: GST on Bank Charges,Fees & Interest
insurance premium paid to ICICI Prudential,Insurance
Max Healthcare Ref#91422089,Hospital & Medical
payment received: Refund Credit,Income & Deposits
Practo Pharmacy Ref#33683629,Medicine & Pharmacy
UPI-Overdraft Interest Charge-vikas.543@oksbi-IDFC-743439241-UPI,Fees & Interest
payment received: Refund Credit,Income & Deposits
Bajaj Allianz MUMBAI IN,Insurance
Urban Company DELHI IN,Personal Care
ACH/TP ACH Nykaa Fashion 5146402280,Shopping & Clothing
UPI/Max Fashion/kavya.807@ybl/Payment/SBI,Shopping & Clothing
UPI/Airtel Postpaid/amit.378@paytm/Payment/SBI,Utilities
UPI/Jio Fiber/amit.195@okicici/Payment/SBI,Utilities
exam fee paid to Vedantu,Education
UPI-Behrouz Biryani-anjali.170@okicici-YES BANK-084955006-UPI,Eating Out
NoBroker Rent Payment MUMBAI IN,Rent & Mortgage
rent transfer to landlord via Property Owner NEFT,Rent & Mortgage
POS Barbeque Nation MUMBAI,Eating Out
train ticket booked via Akasa Air,Travel
NEFT Dr-SBI0000412-VIKAS MALHOTRA-Flipkart,Shopping & Clothing
train ticket booked via Goibibo,Travel
NEFT Dr-YES BANK0000259-ARJUN REDDY-Behrouz Biryani,Eating Out
cash withdrawn from ATM Cash Withdrawal,ATM & Cash
UPI/Bachpan Play School/kavya.599@ybl/Payment/HDFC,Kids Activities
UPI-Zerodha-kavya.539@okaxis-KOTAK-002055403-UPI,Investments & Savings Transfer
annual premium for LIC Premium,Insurance
UPI-HDFC Mutual Fund SIP-priya.383@okhdfcbank-IDFC-671132831-UPI,Investments & Savings Transfer
NEFT Dr-KOTAK0000584-SURESH MENON-MedPlus,Medicine & Pharmacy
NEFT Dr-HDFC0000438-MEERA MENON-YesMadam,Personal Care
NEFT Dr-ICICI0000383-VIKRAM IYER-Max Healthcare,Hospital & Medical
Sushil Medical Store Ref#60072310,Hospital & Medical
UPI/EuroKids/vikram.823@paytm/Payment/HDFC,Kids Activities
BYJU'S DELHI IN,Education
UPI/HDFC ATM Withdrawal/sanjay.393@okhdfcbank/Payment/KOTAK,ATM & Cash
ACH/TP ACH Max Bupa Health 1187066982,Insurance
POS Overdraft Interest Charge DELHI,Fees & Interest
bought medicines from Wellness Forever,Medicine & Pharmacy
Star Bazaar CHENNAI IN,Groceries
ACH/TP ACH Cuemath 8494184782,Kids Activities
UPI/Manipal Hospital/suresh.966@oksbi/Payment/IDFC,Hospital & Medical
utility bill for Tata Power,Utilities
home loan EMI payment to ICICI Home Loan EMI,Rent & Mortgage
NEFT Dr-YES BANK0000972-RITU PILLAI-ICICI Prudential MF,Investments & Savings Transfer
UPI/YesMadam/ritu.249@okaxis/Payment/ICICI,Personal Care
exam fee paid to Udemy,Education
payment received: Freelance Payment Received,Income & Deposits
paid Lakme Salon for a haircut,Personal Care
POS Subway GURGAON,Eating Out
Jawed Habib Ref#08733753,Personal Care
Employer Payroll GURGAON IN,Income & Deposits
UPI/HP Petrol Pump/vikram.993@ybl/Payment/AXIS,Transportation & Gas
Refund Credit Ref#40975986,Income & Deposits
Amazon Shopping GURGAON IN,Shopping & Clothing
IMPS-2507895169-ANJALI REDDY-YES BANK-Zepto,Groceries
School Fee Payment Ref#23713309,Education
UPI/Ola Cabs/suresh.482@okicici/Payment/AXIS,Transportation & Gas
fuel filled at Ola Cabs,Transportation & Gas
paid Park+ Parking for a ride,Transportation & Gas
IMPS-3798435148-KAVYA IYER-SBI-Dividend Credit,Income & Deposits
IMPS-2632164990-ANITA MALHOTRA-ICICI-Subway,Eating Out
ACH/TP ACH Little Millennium 0920900286,Kids Activities
NEFT Dr-YES BANK0000533-ROHAN BOSE-JioMart Grocery,Groceries
Sony LIV Ref#18193368,Entertainment & Subscriptions
shopping order placed on H&M,Shopping & Clothing
NEFT Dr-AXIS0000961-SANJAY MALHOTRA-Reliance Fresh,Groceries
UPI-Reliance Trends-amit.401@okicici-HDFC-426353953-UPI,Shopping & Clothing
POS Employer Payroll MUMBAI,Income & Deposits
fuel filled at FASTag Recharge,Transportation & Gas
monthly subscription renewal for PVR Cinemas,Entertainment & Subscriptions
Behrouz Biryani CHENNAI IN,Eating Out
dinner at Zomato with friends,Eating Out
utility bill for ACT Fibernet,Utilities
NEFT Dr-YES BANK0000796-ANITA VERMA-BookMyShow,Entertainment & Subscriptions
bank charged GST on Bank Charges,Fees & Interest
BigBasket HYDERABAD IN,Groceries
hotel booked through MakeMyTrip,Travel
ICICI Home Loan EMI Ref#16547754,Rent & Mortgage
hotel booked through Cleartrip,Travel
NEFT Dr-HDFC0000409-RAHUL DESAI-Reliance Trends,Shopping & Clothing
UPI-INOX Movies-arjun.228@ybl-KOTAK-355191676-UPI,Entertainment & Subscriptions
Naturals Salon GURGAON IN,Personal Care
flight booking on Airbnb,Travel
NEFT Dr-HDFC0000504-ANITA SHARMA-Vodafone Idea,Utilities
ACH/TP ACH Tata Power 9821733085,Utilities
IMPS-3961121170-RITU RAO-IDFC-HDFC Home Loan EMI,Rent & Mortgage
IMPS-3059788939-SURESH MALHOTRA-ICICI-SMS Alert Charges,Fees & Interest
NEFT Dr-AXIS0000807-KAVYA SHARMA-Interest Credit,Income & Deposits
monthly rent paid via SBI Home Loan EMI,Rent & Mortgage
POS NPS Contribution MUMBAI,Investments & Savings Transfer
NEFT Dr-SBI0000348-ANITA DESAI-Udemy,Education
purchased prescription at MedPlus,Medicine & Pharmacy
UPI/Lakme Salon/amit.938@okaxis/Payment/IDFC,Personal Care
IMPS-2202362813-VIKAS DESAI-AXIS-JioHotstar,Entertainment & Subscriptions
IMPS-4751961035-POOJA IYER-ICICI-Faasos,Eating Out
POS YouTube Premium BANGALORE,Entertainment & Subscriptions
UPI/McDonald's/rahul.283@okhdfcbank/Payment/KOTAK,Eating Out
paid electricity bill to Adani Electricity,Utilities
NEFT Dr-ICICI0000203-ANITA SHARMA-Max Bupa Health,Insurance
UPI-Overdraft Interest Charge-kavya.464@paytm-SBI-562904472-UPI,Fees & Interest
LIC Premium policy renewal payment,Insurance
annual premium for Max Bupa Health,Insurance
IMPS-4755635061-DIVYA REDDY-IDFC-ATM Cash Withdrawal,ATM & Cash
UPI/Property Owner NEFT/neha.481@oksbi/Payment/AXIS,Rent & Mortgage
NEFT Dr-HDFC0000942-VIKRAM CHOPRA-Interest Credit,Income & Deposits
travel booking payment to Air India,Travel
movie tickets booked on Apple Music,Entertainment & Subscriptions
ACH/TP ACH Dividend Credit 8472035969,Income & Deposits
Ola Cabs MUMBAI IN,Transportation & Gas
Freelance Payment Received Ref#48765441,Income & Deposits
ACH/TP ACH Salary Credit 6171998149,Income & Deposits
NEFT Dr-SBI0000169-RITU RAO-ICICI Home Loan EMI,Rent & Mortgage
POS Annual Card Fee GURGAON,Fees & Interest
POS ATM Cash Withdrawal GURGAON,ATM & Cash
POS Vodafone Idea PUNE,Utilities
bought medicines from 1mg Pharmacy,Medicine & Pharmacy
SBI ATM Withdrawal cash withdrawal,ATM & Cash
IMPS-9414559991-VIKAS MENON-AXIS-HDFC ATM Withdrawal,ATM & Cash
IMPS-2076278094-ANJALI BOSE-ICICI-MakeMyTrip,Travel
Unacademy MUMBAI IN,Education
monthly subscription renewal for JioHotstar,Entertainment & Subscriptions
Salary Credit credited to account,Income & Deposits
monthly rent paid via NoBroker Rent Payment,Rent & Mortgage
monthly rent paid via Housing.com Rent,Rent & Mortgage
IMPS-9547810444-PRIYA JOSHI-KOTAK-JioMart Grocery,Groceries
UPI/Netmeds/ritu.193@paytm/Payment/SBI,Medicine & Pharmacy
UPI-SBI ATM Withdrawal-suresh.184@okhdfcbank-KOTAK-562352853-UPI,ATM & Cash
1mg Pharmacy GURGAON IN,Medicine & Pharmacy
IMPS-4902315148-NEHA CHOPRA-YES BANK-Vodafone Idea,Utilities
POS Star Bazaar CHENNAI,Groceries
NEFT Dr-IDFC0000821-ANITA SHARMA-Overdraft Interest Charge,Fees & Interest
SMS Alert Charges Ref#59232116,Fees & Interest
bought clothes online from Flipkart,Shopping & Clothing
bought medicines from 1mg Pharmacy,Medicine & Pharmacy
IMPS-6163784402-ARJUN PILLAI-KOTAK-PPF Deposit,Investments & Savings Transfer
Goibibo Ref#06113222,Travel
Akasa Air Ref#44425648,Travel
UPI/Nykaa Fashion/arjun.906@oksbi/Payment/IDFC,Shopping & Clothing
Groww HYDERABAD IN,Investments & Savings Transfer
ACH/TP ACH HDFC Home Loan EMI 1837512445,Rent & Mortgage
POS College Tuition NEFT MUMBAI,Education
cab ride booked with IRCTC,Transportation & Gas
lunch bill paid at Cafe Coffee Day,Eating Out
shopping order placed on Nykaa Fashion,Shopping & Clothing
SBI Home Loan EMI Ref#67530403,Rent & Mortgage
gym membership fee for Lakme Salon,Personal Care
ACH/TP ACH Sportskids Academy 5905374918,Kids Activities
transferred savings to NPS Contribution,Investments & Savings Transfer
ACH/TP ACH HDFC Mutual Fund SIP 1864208132,Investments & Savings Transfer
NEFT Dr-HDFC0000751-AMIT CHOPRA-Overdraft Interest Charge,Fees & Interest
UPI/SBI Home Loan EMI/karan.997@paytm/Payment/IDFC,Rent & Mortgage
ACH/TP ACH ATM Cash Withdrawal 1602504887,ATM & Cash
paid IRCTC for a ride,Transportation & Gas
penalty charge: SMS Alert Charges,Fees & Interest
Apollo Hospitals GURGAON IN,Hospital & Medical
IMPS-0823901375-AMIT GUPTA-YES BANK-Salary Credit,Income & Deposits
ACH/TP ACH Ola Cabs 7677305817,Transportation & Gas
UPI-Groww-ritu.750@oksbi-YES BANK-669541340-UPI,Investments & Savings Transfer
IMPS-0438214422-AMIT RAO-IDFC-BigBasket,Groceries
Air India CHENNAI IN,Travel
IRCTC Ref#33384062,Transportation & Gas
NEFT Dr-SBI0000180-MEERA REDDY-More Supermarket,Groceries
ACH/TP ACH Interest Credit 7980832460,Income & Deposits
POS SBI ATM Withdrawal BANGALORE,ATM & Cash
ACH/TP ACH LIC Premium 2047508942,Insurance
IMPS-8562293921-SNEHA DESAI-IDFC-Unacademy,Education
NEFT Dr-HDFC0000361-ROHAN GUPTA-Max Bupa Health,Insurance
NEFT Dr-ICICI0000650-ROHAN KAPOOR-Zomato,Eating Out
fuel filled at HP Petrol Pump,Transportation & Gas
IMPS-4137483789-MEERA MENON-SBI-Bajaj Allianz,Insurance
POS Zomato GURGAON,Eating Out
SBI ATM Withdrawal cash withdrawal,ATM & Cash
cash withdrawn from HDFC ATM Withdrawal,ATM & Cash
bought medicines from Wellness Forever,Medicine & Pharmacy
UPI/Apple Music/rohan.225@okhdfcbank/Payment/HDFC,Entertainment & Subscriptions
UPI/BYJU'S/divya.523@okicici/Payment/SBI,Education
Fortis Healthcare MUMBAI IN,Hospital & Medical
paid Ola Cabs for a ride,Transportation & Gas
UPI/Jawed Habib/kavya.916@okhdfcbank/Payment/SBI,Personal Care
weekly grocery shopping at BigBasket,Groceries
UPI-BookMyShow-vikram.420@ybl-IDFC-778913534-UPI,Entertainment & Subscriptions
ACH/TP ACH Tata Power 0785553136,Utilities
paid Reliance Trends for new outfit,Shopping & Clothing
Practo Consultation CHENNAI IN,Hospital & Medical
gym membership fee for Jawed Habib,Personal Care
POS Max Bupa Health HYDERABAD,Insurance
IMPS-8018134285-KARAN MALHOTRA-SBI-ICICI Prudential MF,Investments & Savings Transfer
Zepto HYDERABAD IN,Groceries
course payment on School Fee Payment,Education
UPI/Lakme Salon/karan.398@okhdfcbank/Payment/KOTAK,Personal Care
UPI/ICICI Prudential/manoj.865@oksbi/Payment/YES BANK,Insurance
Overdraft Interest Charge Ref#79735495,Fees & Interest
NEFT Dr-YES BANK0000588-SANJAY BOSE-Barbeque Nation,Eating Out
POS Airbnb GURGAON,Travel
transferred savings to NPS Contribution,Investments & Savings Transfer
ACH/TP ACH Groww 2595774247,Investments & Savings Transfer
UPI-Netflix-sanjay.329@okaxis-ICICI-972435491-UPI,Entertainment & Subscriptions
UPI-Manipal Hospital-rohan.493@okaxis-IDFC-425592962-UPI,Hospital & Medical
coffee at McDonald's,Eating Out
Sportskids Academy GURGAON IN,Kids Activities
BESCOM HYDERABAD IN,Utilities
Cadabams Hospital Ref#61435642,Hospital & Medical
ACH/TP ACH Airtel Postpaid 7168584848,Utilities
UPI-Chimpanzee Play Center-rahul.868@oksbi-IDFC-714195028-UPI,Kids Activities
Sony LIV Ref#87619490,Entertainment & Subscriptions
tuition fee paid to Vedantu,Education
UPI-YesMadam-vikas.326@paytm-SBI-346619429-UPI,Personal Care
IMPS-2800941983-PRIYA RAO-ICICI-Annual Card Fee,Fees & Interest
NEFT Dr-SBI0000577-SNEHA PILLAI-College Tuition NEFT,Education
UPI-Westside-ritu.208@okhdfcbank-SBI-968747928-UPI,Shopping & Clothing
UPI-PharmEasy-vikram.607@paytm-ICICI-193180901-UPI,Medicine & Pharmacy
IMPS-7868692624-KAVYA CHOPRA-AXIS-Sushil Medical Store,Hospital & Medical
IMPS-4227133320-MANOJ KAPOOR-ICICI-Blinkit,Groceries
UPI/Chai Point/neha.915@okaxis/Payment/IDFC,Eating Out
paid Star Bazaar for groceries,Groceries
transferred savings to Zerodha,Investments & Savings Transfer
flight booking on Cleartrip,Travel
IMPS-2273424259-ARJUN IYER-ICICI-Airbnb,Travel
penalty charge: Annual Card Fee,Fees & Interest
shopping order placed on Max Fashion,Shopping & Clothing
IMPS-9859743472-AMIT MALHOTRA-AXIS-HDFC ATM Withdrawal,ATM & Cash
ACH/TP ACH Air India 1991684672,Travel
UPI/Bangalore Water Board/sanjay.401@ybl/Payment/SBI,Utilities
Zepto Ref#07000352,Groceries
shopping order placed on Reliance Trends,Shopping & Clothing
shopping order placed on Lifestyle Stores,Shopping & Clothing
Property Owner NEFT CHENNAI IN,Rent & Mortgage
POS Zerodha MUMBAI,Investments & Savings Transfer
SMS Alert Charges deducted from account,Fees & Interest
children's activity payment to Kidzee,Kids Activities
rent transfer to landlord via NoBroker Rent Payment,Rent & Mortgage
BigBasket PUNE IN,Groceries
medical checkup payment to Fortis Healthcare,Hospital & Medical
Rapido Ref#10145809,Transportation & Gas
NEFT Dr-IDFC0000930-ANJALI BOSE-Subway,Eating Out
Ola Cabs MUMBAI IN,Transportation & Gas
Narayana Health Ref#55710862,Hospital & Medical
NEFT Dr-YES BANK0000205-SANJAY CHOPRA-Uber,Transportation & Gas
IMPS-5055513512-VIKAS RAO-ICICI-ICICI Prudential,Insurance
JioHotstar subscription auto debit,Entertainment & Subscriptions
coffee at Faasos,Eating Out
Sony LIV Ref#43401332,Entertainment & Subscriptions
UPI-24Seven-vikas.538@okaxis-YES BANK-329500167-UPI,Groceries
HDFC Home Loan EMI PUNE IN,Rent & Mortgage
hotel booked through Goibibo,Travel
hospital bill paid to Sushil Medical Store,Hospital & Medical
enrolled kid in Chimpanzee Play Center program,Kids Activities
UPI/PVR Cinemas/ritu.631@okaxis/Payment/SBI,Entertainment & Subscriptions
paid Reliance Trends for new outfit,Shopping & Clothing
UPI/Max Bupa Health/neha.221@paytm/Payment/HDFC,Insurance
train ticket booked via Cleartrip,Travel
utility bill for Bangalore Water Board,Utilities
NEFT Dr-SBI0000377-DIVYA REDDY-Flipkart,Shopping & Clothing
ACH/TP ACH Refund Credit 7684220210,Income & Deposits
UPI-McDonald's-pooja.921@okaxis-KOTAK-882718828-UPI,Eating Out
POS BSES Rajdhani DELHI,Utilities
ACH/TP ACH Kidzee 9560481234,Kids Activities
LIC Premium Ref#98794743,Insurance
penalty charge: Late Payment Fee,Fees & Interest
school van fee for Sportskids Academy,Kids Activities
IMPS-3666440505-ARJUN KAPOOR-AXIS-College Tuition NEFT,Education
POS FASTag Recharge BANGALORE,Transportation & Gas
POS OYO Rooms DELHI,Travel
NEFT Dr-HDFC0000930-VIKAS DESAI-Zerodha,Investments & Savings Transfer
